venue,city,country,format,matches,innings,runs,dismissals,not_outs,average,strike_rate,highest_score
"Sir Vivian Richards Stadium, North Sound",Antigua,Antigua and Barbuda,ODI,2,2,132,1,1,132.00,68.39,78*
Sophia Gardens,Cardiff,England,ODI,4,3,129,2,1,64.50,125.24,52
McLean Park,Napier,New Zealand,ODI,3,2,124,1,1,124.00,91.85,84*
Old Trafford,Manchester,England,ODI,4,4,120,3,1,40.00,78.43,56*
Reliance Stadium,Vadodara,India,ODI,3,3,118,3,0,39.33,93.65,80
Captain Roop Singh Stadium,Gwalior,India,ODI,2,2,113,0,2,NA [Not Out],141.25,68*
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,ODI,4,4,107,4,0,26.75,76.98,65
New Wanderers Stadium,Johannesburg,South Africa,ODI,3,2,103,2,0,51.50,78.03,65
Keenan Stadium,Jamshedpur,Unknown,ODI,1,1,96,1,0,96.00,90.57,96
Headingley,Leeds,England,ODI,4,3,95,3,0,31.67,76.00,42
Holkar Cricket Stadium,Indore,India,ODI,2,2,95,0,2,NA [Not Out],103.26,92*
Edgbaston,Birmingham,England,ODI,8,4,90,3,1,30.00,102.27,42*
Western Australia Cricket Association Ground,Perth,Australia,ODI,5,4,84,3,1,28.00,79.25,45*
"Nehru Stadium, Fatorda",Margao,India,ODI,2,2,80,0,2,NA [Not Out],100.00,67*
Saurashtra Cricket Association Stadium,Rajkot,India,ODI,2,2,79,2,0,39.50,91.86,47
Gaddafi Stadium,Lahore,Pakistan,ODI,1,1,72,0,1,NA [Not Out],156.52,72*
Westpac Stadium,Wellington,New Zealand,ODI,3,3,71,2,1,35.50,73.20,47
Newlands,Cape Town,South Africa,ODI,3,3,70,3,0,23.33,85.37,55
Dubai International Cricket Stadium,,United Arab Emirates,ODI,5,3,69,3,0,23.00,64.49,36
Arbab Niaz Stadium,Peshawar,Pakistan,ODI,1,1,68,1,0,68.00,128.30,68
AMI Stadium,Christchurch,New Zealand,ODI,1,1,68,1,0,68.00,117.24,68
"Sardar Patel Stadium, Motera",Ahmedabad,India,ODI,3,3,67,3,0,22.33,83.75,51
Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,ODI,2,2,62,2,0,31.00,75.61,59
Kingsmead,Durban,South Africa,ODI,4,4,62,3,1,20.67,64.58,25
The Rose Bowl,Southampton,England,ODI,3,3,59,3,0,19.67,53.15,34
Sawai Mansingh Stadium,Jaipur,India,ODI,4,3,57,3,0,19.00,68.67,26
SuperSport Park,Centurion,South Africa,ODI,7,3,52,3,0,17.33,76.47,44
Sector 16 Stadium,Chandigarh,India,ODI,1,1,50,0,1,NA [Not Out],142.86,50*
Maharashtra Cricket Association Stadium,Pune,India,ODI,4,4,50,3,1,16.67,83.33,19
"R.Premadasa Stadium, Khettarama",Colombo,Sri Lanka,ODI,2,2,50,0,2,NA [Not Out],116.28,49*
Bay Oval,Mount Maunganui,Unknown,ODI,1,1,48,0,1,NA [Not Out],145.45,48*
"Sardar Patel (Gujarat) Stadium, Motera",Ahmedabad,India,ODI,2,2,47,2,0,23.50,72.31,47
JSCA International Stadium Complex,Ranchi,India,ODI,4,3,47,2,1,23.50,55.29,26
"Beausejour Stadium, Gros Islet",St Lucia,Saint Lucia,ODI,2,1,46,0,1,NA [Not Out],135.29,46*
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Unknown,ODI,2,2,46,2,0,23.00,102.22,35
Kinrara Academy Oval,Kuala Lumpur,Unknown,ODI,4,3,43,3,0,14.33,75.44,23
The Wanderers Stadium,Johannesburg,South Africa,ODI,1,1,42,0,1,NA [Not Out],97.67,42*
St George's Park,Port Elizabeth,South Africa,ODI,3,3,41,3,0,13.67,89.13,26
Indian Petrochemicals Corporation Limited Sports Complex Ground,Vadodara,India,ODI,1,1,40,0,1,NA [Not Out],200.00,40*
Vidarbha C.A. Ground,Nagpur,India,ODI,1,1,38,1,0,38.00,135.71,38
Nahar Singh Stadium,Faridabad,Unknown,ODI,1,1,38,1,0,38.00,69.09,38
Riverside Ground,Chester-le-Street,England,ODI,1,1,33,1,0,33.00,91.67,33
Vidarbha Cricket Association Ground,Nagpur,India,ODI,1,1,26,1,0,26.00,89.66,26
Arun Jaitley Stadium,Delhi,India,ODI,1,1,24,1,0,24.00,63.16,24
Brabourne Stadium,Mumbai,India,ODI,1,1,23,1,0,23.00,153.33,23
County Ground,Bristol,England,ODI,1,1,21,1,0,21.00,116.67,21
"Warner Park, Basseterre",St Kitts,Saint Kitts and Nevis,ODI,1,1,15,1,0,15.00,57.69,15
Maharani Usharaje Trust Cricket Ground,Indore,India,ODI,1,1,15,1,0,15.00,57.69,15
"Civil Service Cricket Club, Stormont",Belfast,Unknown,ODI,2,2,14,1,1,14.00,93.33,14*
M.Chinnaswamy Stadium,Bengaluru,India,ODI,1,1,13,1,0,13.00,130.00,13
Bangabandhu National Stadium,Dhaka,Bangladesh,ODI,1,1,7,0,1,NA [Not Out],350.00,7*
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Unknown,ODI,2,1,7,1,0,7.00,140.00,7
Multan Cricket Stadium,,Pakistan,ODI,1,1,2,0,1,NA [Not Out],40.00,2*
MA Aziz Stadium,Chattogram,Unknown,ODI,1,1,0,1,0,0.00,0.00,0
Manuka Oval,Canberra,Australia,ODI,1,1,0,1,0,0.00,0.00,0
"MA Chidambaram Stadium, Chepauk",Chennai,India,OVERALL,56,53,1861,37,16,50.30,116.24,224
Eden Gardens,Kolkata,India,OVERALL,25,24,928,14,10,66.29,82.05,144
Shere Bangla National Stadium,Mirpur,Pakistan,OVERALL,29,23,772,11,12,70.18,86.55,101*
"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,OVERALL,17,20,699,15,5,46.60,86.51,139*
M Chinnaswamy Stadium,Bangalore,India,OVERALL,20,20,666,15,5,44.40,104.39,70*
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,OVERALL,14,15,658,13,2,50.62,62.91,124
Wankhede Stadium,Mumbai,India,OVERALL,29,28,554,20,8,27.70,90.97,91*
R Premadasa Stadium,Colombo,Sri Lanka,OVERALL,17,15,543,12,3,45.25,83.03,94
Maharashtra Cricket Association Stadium,Pune,India,OVERALL,22,21,473,11,10,43.00,129.59,61*
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,OVERALL,14,14,440,12,2,36.67,85.44,87*
National Stadium,Karachi,Pakistan,OVERALL,8,8,435,5,3,87.00,94.16,109*
Rangiri Dambulla International Stadium,,Sri Lanka,OVERALL,14,13,434,9,4,48.22,70.57,67
Feroz Shah Kotla,Delhi,India,OVERALL,18,17,431,11,6,39.18,86.03,71*
Kennington Oval,London,England,OVERALL,10,11,428,11,0,38.91,73.67,92
Kingsmead,Durban,South Africa,OVERALL,15,18,409,16,2,25.56,81.15,47
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,OVERALL,13,10,399,7,3,57.00,112.39,148
"Sardar Patel Stadium, Motera",Ahmedabad,India,OVERALL,10,12,365,11,1,33.18,61.86,110
Lord's,London,England,OVERALL,8,11,346,8,3,43.25,52.11,78*
SuperSport Park,Centurion,South Africa,OVERALL,12,9,345,5,4,69.00,105.83,90
Melbourne Cricket Ground,Melbourne,Australia,OVERALL,13,16,318,12,4,26.50,67.66,87*
Sydney Cricket Ground,Sydney,Australia,OVERALL,10,10,311,8,2,38.88,60.62,65
Adelaide Oval,Adelaide,Australia,OVERALL,8,9,309,4,5,77.25,73.05,58*
Nehru Stadium,Kochi,India,OVERALL,8,8,297,5,3,59.40,75.77,72
"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,OVERALL,7,8,295,7,1,42.14,73.20,88*
Edgbaston,Birmingham,England,OVERALL,10,7,268,4,3,67.00,95.37,77
Dubai International Cricket Stadium,Dubai,United Arab Emirates,OVERALL,19,15,252,11,4,22.91,92.99,47*
Barabati Stadium,Cuttack,India,OVERALL,5,5,251,4,1,62.75,107.73,134
Green Park,Kanpur,India,OVERALL,9,9,240,6,3,40.00,84.21,49
Old Trafford,Manchester,England,OVERALL,7,7,226,6,1,37.67,71.52,71
MA Chidambaram Stadium,Chennai,India,OVERALL,8,5,218,1,4,218.00,147.30,75*
New Wanderers Stadium,Johannesburg,South Africa,OVERALL,10,9,215,9,0,23.89,67.82,65
Eden Park,Auckland,New Zealand,OVERALL,5,6,213,4,2,53.25,87.65,85*
M.Chinnaswamy Stadium,Bengaluru,India,OVERALL,4,4,207,2,2,103.50,180.00,84*
"Sabina Park, Kingston",Jamaica,Jamaica,OVERALL,8,9,205,9,0,22.78,72.70,95
Sawai Mansingh Stadium,Jaipur,India,OVERALL,10,9,202,7,2,28.86,104.12,58
JSCA International Stadium Complex,Ranchi,India,OVERALL,11,9,194,4,5,48.50,97.49,57*
Himachal Pradesh Cricket Association Stadium,Dharamsala,India,OVERALL,7,7,187,5,2,37.40,95.41,65
Pallekele International Cricket Stadium,,Sri Lanka,OVERALL,4,4,186,1,3,186.00,90.29,67*
Seddon Park,Hamilton,New Zealand,OVERALL,6,4,184,3,1,61.33,75.41,79*
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,OVERALL,21,17,184,7,10,26.29,153.33,32*
Saurashtra Cricket Association Stadium,Rajkot,India,OVERALL,6,6,179,4,2,44.75,110.49,49
Basin Reserve,Wellington,New Zealand,OVERALL,2,3,176,2,1,88.00,68.22,68
"Wankhede Stadium, Mumbai",Mumbai,India,OVERALL,12,10,166,6,4,27.67,128.68,50*
Harare Sports Club,,Zimbabwe,OVERALL,9,5,162,3,2,54.00,104.52,67*
Sophia Gardens,Cardiff,England,OVERALL,5,4,161,2,2,80.50,126.77,52
Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,OVERALL,8,7,159,6,1,26.50,106.00,59
Madhavrao Scindia Cricket Ground,Rajkot,India,OVERALL,4,3,159,3,0,53.00,103.92,72
"Queen's Park Oval, Port of Spain",Trinidad,Trinidad and Tobago,OVERALL,8,8,156,4,4,39.00,86.67,46*
Western Australia Cricket Association Ground,Perth,Australia,OVERALL,7,8,155,7,1,22.14,54.77,45*
Iqbal Stadium,Faisalabad,Pakistan,OVERALL,1,1,148,1,0,148.00,96.73,148
Trent Bridge,Nottingham,England,OVERALL,8,8,148,8,0,18.50,60.66,82
Westpac Stadium,Wellington,New Zealand,OVERALL,5,5,138,3,2,46.00,87.34,47
Arun Jaitley Stadium,Delhi,India,OVERALL,5,5,137,3,2,45.67,71.73,57
Brabourne Stadium,Mumbai,India,OVERALL,4,3,132,1,2,132.00,75.86,100*
"Sir Vivian Richards Stadium, North Sound",Antigua,Antigua and Barbuda,OVERALL,2,2,132,1,1,132.00,68.39,78*
Holkar Cricket Stadium,Indore,India,OVERALL,4,4,128,2,2,64.00,103.23,92*
McLean Park,Napier,New Zealand,OVERALL,3,2,124,1,1,124.00,91.85,84*
Reliance Stadium,Vadodara,India,OVERALL,3,3,118,3,0,39.33,93.65,80
Newlands,Cape Town,South Africa,OVERALL,6,6,118,6,0,19.67,96.72,55
The Rose Bowl,Southampton,England,OVERALL,4,5,115,5,0,23.00,48.94,50
Captain Roop Singh Stadium,Gwalior,India,OVERALL,2,2,113,0,2,NA [Not Out],141.25,68*
Keenan Stadium,Jamshedpur,Unknown,OVERALL,1,1,96,1,0,96.00,90.57,96
Headingley,Leeds,England,OVERALL,4,3,95,3,0,31.67,76.00,42
Subrata Roy Sahara Stadium,Pune,India,OVERALL,3,3,95,1,2,95.00,146.15,45*
Punjab Cricket Association IS Bindra Stadium,Chandigarh,Unknown,OVERALL,2,2,89,0,2,NA [Not Out],158.93,79*
"Antigua Recreation Ground, St John's",Antigua,West Indies,OVERALL,1,2,88,2,0,44.00,111.39,69
Sharjah Cricket Stadium,Sharjah,United Arab Emirates,OVERALL,6,6,86,2,4,43.00,119.44,29*
"Beausejour Stadium, Gros Islet",St Lucia,Saint Lucia,OVERALL,4,3,85,0,3,NA [Not Out],144.07,46*
The Wanderers Stadium,Johannesburg,South Africa,OVERALL,3,4,81,3,1,27.00,81.82,42*
Dr DY Patil Sports Academy,Mumbai,India,OVERALL,4,3,81,2,1,40.50,126.56,30
"Nehru Stadium, Fatorda",Margao,India,OVERALL,2,2,80,0,2,NA [Not Out],100.00,67*
St George's Park,Port Elizabeth,South Africa,OVERALL,5,5,80,4,1,20.00,97.56,26
Sinhalese Sports Club Ground,Colombo,Sri Lanka,OVERALL,2,1,76,1,0,76.00,55.07,76
"Windsor Park, Roseau",Dominica,Unknown,OVERALL,1,1,74,1,0,74.00,55.64,74
Gaddafi Stadium,Lahore,Pakistan,OVERALL,1,1,72,0,1,NA [Not Out],156.52,72*
AMI Stadium,Christchurch,New Zealand,OVERALL,2,2,70,2,0,35.00,109.38,68
Arbab Niaz Stadium,Peshawar,Pakistan,OVERALL,1,1,68,1,0,68.00,128.30,68
"Brabourne Stadium, Mumbai",Mumbai,India,OVERALL,4,3,65,2,1,32.50,104.84,26
"Warner Park, Basseterre",St Kitts,Saint Kitts and Nevis,OVERALL,2,3,64,3,0,21.33,56.14,29
Sardar Patel Stadium,Ahmedabad,India,OVERALL,1,2,63,2,0,31.50,76.83,49
Vidarbha C.A. Ground,Nagpur,India,OVERALL,2,3,59,3,0,19.67,100.00,38
Buffalo Park,East London,South Africa,OVERALL,1,1,58,0,1,NA [Not Out],156.76,58*
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,OVERALL,3,2,54,0,2,NA [Not Out],270.00,28*
Zahur Ahmed Chowdhury Stadium,Chattogram,Unknown,OVERALL,1,2,53,1,1,53.00,96.36,36
